"Name","Full Ticker","Ticker","P/E Ratio"
"Global International Credit Group Limited","SEHK:1669",1669,3.1483
"Trio Industrial Electronics Group Limited","SEHK:1710",1710,31.4037
"Minmetals Land Limited","SEHK:230",230,16.8366
"Stella International Holdings Limited","SEHK:1836",1836,18.13
"Midea Real Estate Holding Limited","SEHK:3990",3990,3.9269
"Lion Rock Group Limited","SEHK:1127",1127,5.7004
"Vodatel Networks Holdings Limited","SEHK:8033",8033,-14.8727
"CR Construction Group Holdings Limited","SEHK:1582",1582,5.1172
"China Minsheng Banking Corp., Ltd.","SEHK:1988",1988,4.8633
"Poly Property Group Co., Limited","SEHK:119",119,9.7117
"Eagle Nice (International) Holdings Limited","SEHK:2368",2368,8.0201
"Lippo China Resources Limited","SEHK:156",156,-3.7755
"Pacific Online Limited","SEHK:543",543,11.3588
"G & M Holdings Limited","SEHK:6038",6038,6.9605
"SINOPEC Engineering (Group) Co., Ltd.","SEHK:2386",2386,6.7154
"China Hanking Holdings Limited","SEHK:3788",3788,6.4374
"Lonking Holdings Limited","SEHK:3339",3339,6.0208
"Q P Group Holdings Limited","SEHK:1412",1412,5.5522
"PICC Property and Casualty Company Limited","SEHK:2328",2328,5.2569
"Allied Group Limited","SEHK:373",373,7.4452
"West China Cement Limited","SEHK:2233",2233,3.2412
"Yorkey Optical International (Cayman) Ltd.","SEHK:2788",2788,17.3029
"Inner Mongolia Yitai Coal Co.,Ltd.","SEHK:3948",3948,6.0286
"Dickson Concepts (International) Limited","SEHK:113",113,2.4419
"Design Capital Limited","SEHK:1545",1545,5.4215
"Changmao Biochemical Engineering Company Limited","SEHK:954",954,10.2581
"China Power International Development Limited","SEHK:2380",2380,9.2629
"Dalipal Holdings Limited","SEHK:1921",1921,8.11
"Agile Group Holdings Limited","SEHK:3383",3383,4.7342
"Qilu Expressway Company Limited","SEHK:1576",1576,8.2112
"Jinshang Bank Co., Ltd.","SEHK:2558",2558,4.6473
"Plover Bay Technologies Limited","SEHK:1523",1523,16.2947
"Haitong Unitrust International Financial Leasing Co., Ltd.","SEHK:1905",1905,7.7175
"Infinity Development Holdings Company Limited","SEHK:640",640,6.1345
"China Lilang Limited","SEHK:1234",1234,7.916
"Wang On Group Limited","SEHK:1222",1222,-29.3463
"Yanzhou Coal Mining Company Limited","SEHK:1171",1171,5.1589
"APT Satellite Holdings Limited","SEHK:1045",1045,9.9921
"Telecom Service One Holdings Limited","SEHK:3997",3997,28.8475
"BBMG Corporation","SEHK:2009",2009,10.1398
"China Aoyuan Group Limited","SEHK:3883",3883,3.7808
"AEON Credit Service (Asia) Company Limited","SEHK:900",900,7.1229
"Nameson Holdings Limited","SEHK:1982",1982,8.9642
"Modern Land (China) Co., Limited","SEHK:1107",1107,3.1972
"Herald Holdings Limited","SEHK:114",114,12.1312
"Hung Hing Printing Group Limited","SEHK:450",450,14.5758
"Shougang Fushan Resources Group Limited","SEHK:639",639,10.2123
"Pacific Textiles Holdings Limited","SEHK:1382",1382,9.8201
"Times China Holdings Limited","SEHK:1233",1233,3.6817
"Henan Jinma Energy Company Limited","SEHK:6885",6885,3.9222
"Bank of Communications Co., Ltd.","SEHK:3328",3328,4.6736
"YCIH Green High-Performance Concrete Company Limited","SEHK:1847",1847,3.1559
"CITIC Telecom International Holdings Limited","SEHK:1883",1883,9.2782
"Joy City Property Limited","SEHK:207",207,7.0557
"Tradelink Electronic Commerce Limited","SEHK:536",536,12.3562
"Wecon Holdings Limited","SEHK:1793",1793,3.9966
"Town Ray Holdings Limited","SEHK:1692",1692,6.7086
"China SCE Group Holdings Limited","SEHK:1966",1966,3.1377
"Bank of China Limited","SEHK:3988",3988,5.1894
"Most Kwai Chung Limited","SEHK:1716",1716,11.0569
"Jiashili Group Limited","SEHK:1285",1285,7.1177
"Lung Kee (Bermuda) Holdings Limited","SEHK:255",255,11.6995
"Shandong International Trust Co., Ltd.","SEHK:1697",1697,3.5593
"KWG Group Holdings Limited","SEHK:1813",1813,4.2041
"Sun Hung Kai & Co. Limited","SEHK:86",86,3.7803
"Chinney Kin Wing Holdings Limited","SEHK:1556",1556,4.6684
"International Housewares Retail Company Limited","SEHK:1373",1373,6.9817
"Jilin Jiutai Rural Commercial Bank Corporation Limited","SEHK:6122",6122,8.1455
"Regal Real Estate Investment Trust","SEHK:1881",1881,-1.3164
"Golden Throat Holdings Group Company Limited","SEHK:6896",6896,7.0899
"Cisco Systems, Inc.","SEHK:4333",4333,18.9728
"Huadian Power International Corporation Limited","SEHK:1071",1071,6.498
"Wai Kee Holdings Limited","SEHK:610",610,2.6775
"DCB Holdings Limited","SEHK:8040",8040,-8.8594
"Sunray Engineering Group Limited","SEHK:8616",8616,7.8016
"Chongqing Rural Commercial Bank Co., Ltd.","SEHK:3618",3618,5.0925
"Shenzhen Expressway Company Limited","SEHK:548",548,17.5923
"Sichuan Energy Investment Development Co., Ltd.","SEHK:1713",1713,5.7967
"Asia Cement (China) Holdings Corporation","SEHK:743",743,3.7825
"Qinhuangdao Port Co., Ltd.","SEHK:3369",3369,12.8549
"Logan Group Company Limited","SEHK:3380",3380,4.5386
"Public Financial Holdings Limited","SEHK:626",626,5.7524
"China Cinda Asset Management Co., Ltd.","SEHK:1359",1359,5.6811
"JNBY Design Limited","SEHK:3306",3306,12.0488
"S.A.S. Dragon Holdings Limited","SEHK:1184",1184,7.0119
"Beijing Capital International Airport Company Limited","SEHK:694",694,-42.0712
"China CITIC Bank Corporation Limited","SEHK:998",998,4.6876
"Liu Chong Hing Investment Limited","SEHK:194",194,19.7439
"Agricultural Bank of China Limited","SEHK:1288",1288,5.66
"CNOOC Limited","SEHK:883",883,8.9076
"Golden Ponder Holdings Limited","SEHK:1783",1783,-19.4819
"PCCW Limited","SEHK:8",8,-34.5086
"China Zheshang Bank Co., Ltd","SEHK:2016",2016,7.5793
"Xtrackers - MSCI Russia Capped Swap UCITS ETF","SEHK:3027",3027,
"Greatview Aseptic Packaging Company Limited","SEHK:468",468,13.8551
"Beijing Urban Construction Design & Development Group Co., Limited","SEHK:1599",1599,3.2426
"CIMC Vehicles (Group) Co., Ltd.","SEHK:1839",1839,9.3745
"APAC Resources Limited","SEHK:1104",1104,-3.8889
"China Everbright Bank Company Limited","SEHK:6818",6818,5.9151
"China Jinmao Holdings Group Limited","SEHK:817",817,5.3967
"Xingda International Holdings Limited","SEHK:1899",1899,11.993
"Sino Harbour Holdings Group Limited","SEHK:1663",1663,4.3355
"Yuexiu Transport Infrastructure Limited","SEHK:1052",1052,35.9247
"Shun Tak Holdings Limited","SEHK:242",242,-34.1398
"Hong Kong Economic Times Holdings Limited","SEHK:423",423,16.19
"The People's Insurance Company (Group) of China Limited","SEHK:1339",1339,4.6624
"Prosperity Real Estate Investment Trust","SEHK:808",808,-9.8077
"Sinopec Shanghai Petrochemical Company Limited","SEHK:338",338,-335.4353
"Beijing Jingkelong Company Limited","SEHK:814",814,7.2747
"Far East Consortium International Limited","SEHK:35",35,9690.2674
"China Railway Signal & Communication Corporation Limited","SEHK:3969",3969,16.1869
"Goldlion Holdings Limited","SEHK:533",533,8.8567
"Datang International Power Generation Co., Ltd.","SEHK:991",991,15.256
"Sinopec Kantons Holdings Limited","SEHK:934",934,6.5571
"Media Chinese International Limited","SEHK:685",685,-18.1713
"Shenzhen Investment Holdings Bay Area Development Company Limited","SEHK:737",737,44.1474
"Hanison Construction Holdings Limited","SEHK:896",896,6.6968
"Shenzhen Investment Holdings Bay Area Development Company Limited","SEHK:80737",80737,44.1474
"Rivera (Holdings) Limited","SEHK:281",281,55.6926
"BAIC Motor Corporation Limited","SEHK:1958",1958,9.3761
"HKT Trust and HKT Limited","SEHK:6823",6823,15.0499
"HKBN Ltd.","SEHK:1310",1310,151.9811
"Gemdale Properties and Investment Corporation Limited","SEHK:535",535,3.9115
"Fortune Real Estate Investment Trust","SEHK:778",778,-4.5767
"Transport International Holdings Limited","SEHK:62",62,27.7775
"NWS Holdings Limited","SEHK:659",659,140.5662
"Shanghai Industrial Holdings Limited","SEHK:363",363,5.7819
"Spring Real Estate Investment Trust","SEHK:1426",1426,-17.419
"China Resources Cement Holdings Limited","SEHK:1313",1313,6.3486
"COSCO SHIPPING International (Hong Kong) Co., Ltd.","SEHK:517",517,12.0296
"Guangzhou Rural Commercial Bank Co., Ltd.","SEHK:1551",1551,4.2176
"ST International Holdings Company Limited","SEHK:8521",8521,6.0098
"Xinhua Winshare Publishing and Media Co., Ltd.","SEHK:811",811,7.6495
"China Communications Construction Company Limited","SEHK:1800",1800,6.8752
"KML Technology Group Limited","SEHK:8065",8065,3.3548
"Power Assets Holdings Limited","SEHK:6",6,16.6489
"Sunlight Real Estate Investment Trust","SEHK:435",435,-6.8637
"Hui Xian Real Estate Investment Trust","SEHK:87001",87001,-6.8805
"China Merchants Port Holdings Company Limited","SEHK:144",144,12.8501
"Sun Hing Printing Holdings Limited","SEHK:1975",1975,8.3307
"Nanfang Communication Holdings Limited","SEHK:1617",1617,-20.4287
"Huishang Bank Corporation Limited","SEHK:3698",3698,3.1837
"Wang On Properties Limited","SEHK:1243",1243,-33.0343
"Fosun International Limited","SEHK:656",656,9.0966
"China VAST Industrial Urban Development Company Limited","SEHK:6166",6166,6.5031
"CSSC (Hong Kong) Shipping Company Limited","SEHK:3877",3877,7.8673
"Wing Tai Properties Limited","SEHK:369",369,-12.5439
"Hong Kong Finance Group Limited","SEHK:1273",1273,2.8407
"Yue Yuen Industrial (Holdings) Limited","SEHK:551",551,-42.6013
"BOCOM International Holdings Company Limited","SEHK:3329",3329,7.1549
"Country Garden Holdings Company Limited","SEHK:2007",2007,4.5821
"Powerlong Real Estate Holdings Limited","SEHK:1238",1238,4.4945
"Hang Chi Holdings Limited","SEHK:8405",8405,9.5067
"China Resources Power Holdings Company Limited","SEHK:836",836,6.1846
"Glorious Sun Enterprises Limited","SEHK:393",393,14.2296
"China Overseas Grand Oceans Group Limited","SEHK:81",81,3.3082
"Pacific Millennium Packaging Group Corporation","SEHK:1820",1820,18.4346
"Sunwah Kingsway Capital Holdings Limited","SEHK:188",188,-11.328
"Kato (Hong Kong) Holdings Limited","SEHK:2189",2189,9.7127
"China Shineway Pharmaceutical Group Limited","SEHK:2877",2877,7.5505
"Sichuan Expressway Company Limited","SEHK:107",107,35.4281
"Karrie International Holdings Limited","SEHK:1050",1050,10.0395
"Time Interconnect Technology Limited","SEHK:1729",1729,5.448
"Justin Allen Holdings Limited","SEHK:1425",1425,6.5438
"Wah Ha Realty Company Limited","SEHK:278",278,-12.5872
"Lee & Man Chemical Company Limited","SEHK:746",746,6.697
"Yuexiu Property Company Limited","SEHK:123",123,6.2513
"Chengdu Expressway Co., Ltd.","SEHK:1785",1785,10.8842
"Luzhou Xinglu Water (Group) Co., Ltd.","SEHK:2281",2281,3.9446
"Puxing Energy Limited","SEHK:90",90,4.3665
"PetroChina Company Limited","SEHK:857",857,41.5888
"Bank of Tianjin Co., Ltd.","SEHK:1578",1578,4.0295
"Bamboos Health Care Holdings Limited","SEHK:2293",2293,10.1471
"Hong Kong Ferry (Holdings) Company Limited","SEHK:50",50,33.3279
"Carrianna Group Holdings Company Limited","SEHK:126",126,12.5954
"China Everbright Environment Group Limited","SEHK:257",257,5.0226
"Shimao Group Holdings Limited","SEHK:813",813,7.0488
"Golden Eagle Retail Group Limited","SEHK:3308",3308,11.2769
"China State Construction International Holdings Limited","SEHK:3311",3311,4.9809
"Yip's Chemical Holdings Limited","SEHK:408",408,7.3665
"Polytec Asset Holdings Limited","SEHK:208",208,92.9733
"CITIC Limited","SEHK:267",267,4.1611
"Shenguan Holdings (Group) Limited","SEHK:829",829,12.8421
"China Suntien Green Energy Corporation Limited","SEHK:956",956,15.2289
"China Oriental Group Company Limited","SEHK:581",581,3.4208
"China Electronics Optics Valley Union Holding Company Limited","SEHK:798",798,4.8461
"Grand Brilliance Group Holdings Limited","SEHK:8372",8372,6.4812
"Centurion Corporation Limited","SEHK:6090",6090,2.8741
"China Mobile Limited","SEHK:941",941,8.7752
"Allan International Holdings Limited","SEHK:684",684,-12926.4239
"Want Want China Holdings Limited","SEHK:151",151,14.5828
"C&D International Investment Group Limited","SEHK:1908",1908,8.2319
"Red Star Macalline Group Corporation Ltd.","SEHK:1528",1528,13.1243
"Shoucheng Holdings Limited","SEHK:697",697,25.3201
"Yuexiu Real Estate Investment Trust","SEHK:405",405,309.919
"Industrial and Commercial Bank of China Limited","SEHK:1398",1398,6.3092
"China Construction Bank Corporation","SEHK:939",939,5.5145
"Huaneng Power International, Inc.","SEHK:902",902,11.8962
"Le Saunda Holdings Limited","SEHK:738",738,-7.9658
"BOC Hong Kong (Holdings) Limited","SEHK:2388",2388,8.9998
"Kingdom Holdings Limited","SEHK:528",528,8.6283
"Cabbeen Fashion Limited","SEHK:2030",2030,7.3078
"Champion Real Estate Investment Trust","SEHK:2778",2778,-2.1551
"Oi Wah Pawnshop Credit Holdings Limited","SEHK:1319",1319,5.6911
"China Reinsurance (Group) Corporation","SEHK:1508",1508,5.8541
"First Pacific Company Limited","SEHK:142",142,-301.9879
"Mainland Headwear Holdings Limited","SEHK:1100",1100,19.6251
"Ajisen (China) Holdings Limited","SEHK:538",538,-30.7983
"AV Concept Holdings Limited","SEHK:595",595,4.0965
"Jiangsu Expressway Company Limited","SEHK:177",177,17.783
"CK Infrastructure Holdings Limited","SEHK:1038",1038,15.2575
"Million Hope Industries Holdings Limited","SEHK:1897",1897,12.1394
"iShares Asia Trust - iShares Core Hang Seng Index ETF","SEHK:9115",9115,
"iShares Asia Trust - iShares Core Hang Seng Index ETF","SEHK:3115",3115,
"iShares Asia Trust - iShares Core Hang Seng Index ETF","SEHK:83115",83115,
"Consun Pharmaceutical Group Limited","SEHK:1681",1681,54.1321
"Raymond Industrial Limited","SEHK:229",229,9.3164
"Kerry Properties Limited","SEHK:683",683,8.386
"DYNAM JAPAN HOLDINGS Co., Ltd.","SEHK:6889",6889,17.4306
"GDH Guangnan (Holdings) Limited","SEHK:1203",1203,9.6277
"Hi-Level Technology Holdings Limited","SEHK:8113",8113,13.0204
"COSCO SHIPPING Ports Limited","SEHK:1199",1199,7.2038
"Sands China Ltd.","SEHK:1928",1928,-24.7648
"Television Broadcasts Limited","SEHK:511",511,-5.0715
"Bank of Zhengzhou Co., Ltd.","SEHK:6196",6196,10.4367
"Henderson Land Development Company Limited","SEHK:12",12,13.5652
"K & P International Holdings Limited","SEHK:675",675,8.0837
"Ming Fai International Holdings Limited","SEHK:3828",3828,5.1137
"Dah Sing Financial Holdings Limited","SEHK:440",440,5.8603
"New World Development Company Limited","SEHK:17",17,94.9557
"Get Nice Financial Group Limited","SEHK:1469",1469,15.2409
"CNT Group Limited","SEHK:701",701,-2.692
"Ka Shui International Holdings Limited","SEHK:822",822,4.1387
"Shanghai Industrial Urban Development Group Limited","SEHK:563",563,8.7258
"Beijing Enterprises Water Group Limited","SEHK:371",371,7.1446
"Dongfeng Motor Group Company Limited","SEHK:489",489,7.2434
"Tai Sang Land Development Limited","SEHK:89",89,10.8167
"Hutchison Telecommunications Hong Kong Holdings Limited","SEHK:215",215,16.6863
"New China Life Insurance Company Ltd.","SEHK:1336",1336,10.378
"China Overseas Land & Investment Limited","SEHK:688",688,4.4863
"Chong Hing Bank Limited","SEHK:1111",1111,6.2601
"Guorui Properties Limited","SEHK:2329",2329,5.3748
"Swire Pacific Limited","SEHK:87",87,-11.9859
"Sino-Ocean Group Holding Limited","SEHK:3377",3377,5.3401
"Capinfo Company Limited","SEHK:1075",1075,8.0233
"K. Wah International Holdings Limited","SEHK:173",173,3.0746
"Zhengye International Holdings Company Limited","SEHK:3363",3363,7.5143
"Computer And Technologies Holdings Limited","SEHK:46",46,13.6864
"Guangdong Join-Share Financing Guarantee Investment Co., Ltd.","SEHK:1543",1543,13.0674
"Dah Sing Banking Group Limited","SEHK:2356",2356,6.4706
"Tomson Group Limited","SEHK:258",258,36.0002
"Playmates Holdings Limited","SEHK:635",635,-77.2935
"China Merchants China Direct Investments Limited","SEHK:133",133,-4.9212
"Bank of Chongqing Co., Ltd.","SEHK:1963",1963,7.9216
"Hengan International Group Company Limited","SEHK:1044",1044,12.4093
"Forward Fashion (International) Holdings Company Limited","SEHK:2528",2528,-4.4597
"Fujikon Industrial Holdings Limited","SEHK:927",927,-1349.8818
"Maoye International Holdings Limited","SEHK:848",848,46.4441
"Zhongguancun Science-Tech Leasing Co., Ltd.","SEHK:1601",1601,6.4888
"Qingdao Port International Co., Ltd.","SEHK:6198",6198,10.806
"China Water Affairs Group Limited","SEHK:855",855,6.2
"CK Hutchison Holdings Limited","SEHK:1",1,6.9009
"SIIC Environment Holdings Ltd.","SEHK:807",807,3.9386
"Anhui Expressway Company Limited","SEHK:995",995,12.844
"China Hongqiao Group Limited","SEHK:1378",1378,11.1374
"Tan Chong International Limited","SEHK:693",693,101.8831
"Charmacy Pharmaceutical Co., Ltd.","SEHK:2289",2289,13.8978
"China Life Insurance Company Limited","SEHK:2628",2628,17.3193
"Hop Hing Group Holdings Limited","SEHK:47",47,-22.5709
"Chevalier International Holdings Limited","SEHK:25",25,7.1576
"Zhong An Group Limited","SEHK:672",672,3.0279
"China Machinery Engineering Corporation","SEHK:1829",1829,6.6936
"Giordano International Limited","SEHK:709",709,-23.8133
"Huaxi Holdings Company Limited","SEHK:1689",1689,12.2458
"Embry Holdings Limited","SEHK:1388",1388,-16.3791
"CGN Power Co., Ltd.","SEHK:1816",1816,13.2313
"Quanzhou Huixin Micro-Credit Co., Ltd.","SEHK:1577",1577,21.8754
"Hebei Construction Group Corporation Limited","SEHK:1727",1727,10.712
"TCL Electronics Holdings Limited","SEHK:1070",1070,8.8052
"Build King Holdings Limited","SEHK:240",240,3.6001
"Bank of Qingdao Co., Ltd.","SEHK:3866",3866,12.0418
"BMO ETF - BMO Hong Kong Banks ETF","SEHK:3143",3143,
"Tianjin Development Holdings Limited","SEHK:882",882,7.9898
"Shirble Department Store Holdings (China) Limited","SEHK:312",312,6.3466
"Changhong Jiahua Holdings Limited","SEHK:3991",3991,7.9393
"Health and Happiness (H&H) International Holdings Limited","SEHK:1112",1112,16.3085
"China Telecom Corporation Limited","SEHK:728",728,8.3107
"Suga International Holdings Limited","SEHK:912",912,16.4398
"CIFI Holdings (Group) Co. Ltd.","SEHK:884",884,7.5012
"China Everbright Greentech Limited","SEHK:1257",1257,4.2069
"Jujiang Construction Group Co., Ltd.","SEHK:1459",1459,3.0146
"Sino Land Company Limited","SEHK:83",83,53.6468
"Astrum Financial Holdings Limited","SEHK:8333",8333,-87.5753
"Tsit Wing International Holdings Limited","SEHK:2119",2119,9.1556
"Star Properties Group (Cayman Islands) Limited","SEHK:1560",1560,0.8303
"Winox Holdings Limited","SEHK:6838",6838,7.1492
"China Communications Services Corporation Limited","SEHK:552",552,7.252
"BII Railway Transportation Technology Holdings Company Limited","SEHK:1522",1522,19.1356
"Henderson Investment Limited","SEHK:97",97,14.8942
"Pak Fah Yeow International Limited","SEHK:239",239,-17.7422
"Sinotrans Limited","SEHK:598",598,10.6004
"Tai Cheung Holdings Limited","SEHK:88",88,73.9059
"Zhongyuan Bank Co., Ltd.","SEHK:1216",1216,7.4262
"Dali Foods Group Company Limited","SEHK:3799",3799,14.7697
"EcoGreen International Group Limited","SEHK:2341",2341,4.228
"Virscend Education Company Limited","SEHK:1565",1565,10.7428
"Redsun Properties Group Limited","SEHK:1996",1996,5.4283
"SH Group (Holdings) Limited","SEHK:1637",1637,4.9133
"WH Group Limited","SEHK:288",288,10.893
"Haitong Securities Co., Ltd.","SEHK:6837",6837,13.0978
"Fantasia Holdings Group Co., Limited","SEHK:1777",1777,6.7003
"China Evergrande Group","SEHK:3333",3333,19.5349
"UTS Marketing Solutions Holdings Limited","SEHK:6113",6113,15.0989
"China Railway Group Limited","SEHK:390",390,5.4124
"China Railway Construction Corporation Limited","SEHK:1186",1186,5.3011
"Taizhou Water Group Co., Ltd.","SEHK:1542",1542,7.1949
"Concord New Energy Group Limited","SEHK:182",182,6.6818
"Hysan Development Company Limited","SEHK:14",14,-61.2649
"Genertec Universal Medical Group Company Limited","SEHK:2666",2666,6.3557
"Dawnrays Pharmaceutical (Holdings) Limited","SEHK:2348",2348,7.0051
"Jiu Zun Digital Interactive Entertainment Group Holdings Limited","SEHK:1961",1961,9.7315
"Datronix Holdings Limited","SEHK:889",889,83.0655
"Livzon Pharmaceutical Group Inc.","SEHK:1513",1513,18.1434
"Multifield International Holdings Limited","SEHK:898",898,3.6852
"Fairwood Holdings Limited","SEHK:52",52,35.7105
"Manulife Financial Corporation","SEHK:945",945,8.7695
"Towngas China Company Limited","SEHK:1083",1083,8.9574
"Wing On Company International Limited","SEHK:289",289,-34.7279
"Emperor International Holdings Limited","SEHK:163",163,-1.0277
"Anhui Conch Cement Company Limited","SEHK:914",914,7.9431
"CRRC Corporation Limited","SEHK:1766",1766,21.9552
"Guangshen Railway Company Limited","SEHK:525",525,-11.4978
"Changsha Broad Homes Industrial Group Co., Ltd.","SEHK:2163",2163,11.7295
"Get Nice Holdings Limited","SEHK:64",64,20.2032
"Tian An China Investments Company Limited","SEHK:28",28,10.0957
"China Energy Engineering Corporation Limited","SEHK:3996",3996,5.1625
"Beijing Enterprises Holdings Limited","SEHK:392",392,5.0005
"AMS Public Transport Holdings Limited","SEHK:77",77,-7.7353
"Shanghai Jin Jiang Capital Company Limited","SEHK:2006",2006,-112.4358
"Hingtex Holdings Limited","SEHK:1968",1968,-3.4826
"AEON Stores (Hong Kong) Co., Limited","SEHK:984",984,-5.309
"Guangdong Investment Limited","SEHK:270",270,18.6519
"Huajin International Holdings Limited","SEHK:2738",2738,-194.1496
"Lotus Horizon Holdings Limited","SEHK:6063",6063,9.9106
"Luzhou Bank Co., Ltd.","SEHK:1983",1983,10.4337
"China Coal Energy Company Limited","SEHK:1898",1898,13.9948
"CK Asset Holdings Limited","SEHK:1113",1113,8.2696
"Hang Lung Group Limited","SEHK:10",10,-17.7161
"Zensun Enterprises Limited","SEHK:185",185,5.8584
"Vedan International (Holdings) Limited","SEHK:2317",2317,15.8388
"HK Electric Investments and HK Electric Investments Limited","SEHK:2638",2638,27.5745
"Ping An Insurance (Group) Company of China, Ltd.","SEHK:2318",2318,10.5117
"ITC Properties Group Limited","SEHK:199",199,-1.5313
"Tak Lee Machinery Holdings Limited","SEHK:2102",2102,4.9722
"Clifford Modern Living Holdings Limited","SEHK:3686",3686,5.4464
"CLP Holdings Limited","SEHK:2",2,16.8158
"Tingyi (Cayman Islands) Holding Corp.","SEHK:322",322,17.7563
"High Fashion International Limited","SEHK:608",608,16.3172
"Sun Hung Kai Properties Limited","SEHK:16",16,15.4
"Swire Pacific Limited","SEHK:19",19,-11.9859
"Crystal International Group Limited","SEHK:2232",2232,8.6571
"CHTC Fong's International Company Limited","SEHK:641",641,2.9743
"Sunac China Holdings Limited","SEHK:1918",1918,4.8123
"Shenzhen Investment Limited","SEHK:604",604,6.1919
"CIMC Enric Holdings Limited","SEHK:3899",3899,10.8922
"UMP Healthcare Holdings Limited","SEHK:722",722,11.9721
"Sitoy Group Holdings Limited","SEHK:1023",1023,-3.4318
"CCID Consulting Company Limited","SEHK:8235",8235,5.3716
"Fufeng Group Limited","SEHK:546",546,8.2374
"FriendTimes Inc.","SEHK:6820",6820,10.5463
"Hopefluent Group Holdings Limited","SEHK:733",733,7.2449
"Guotai Junan Securities Co., Ltd.","SEHK:2611",2611,12.4411
"NagaCorp Ltd.","SEHK:3918",3918,19.3906
"Shenwan Hongyuan Group Co., Ltd.","SEHK:6806",6806,15.1882
